inputAddr,outputAddr1,outputAddr2,inputBTC,outputBTC1,outputBTC2,peeling ratio,TxTime,Fee,Address Type,Case No.
1NLfiNa2rKsLyiZSK8eMHXm5efsj5WBfwv,32e2QdtUpRCR3o5fEj7H6KoyaTjrmg57Pu,1PreyVHgkuXYRuS7TLKGSgSbH4PUwvFQNi,0.25,0.077,0.172988,2.2465974025974025 : 1,2018-03-30 17:04,1200,P2PKH,14
18CSFEdFUi6pSF2vFEUfvdfuDnBUi4TwzX,1EqXXep8bnjo9L9VuMKthsiwURfgHyohKi,1PbBqVCAXE9X8kaz4Gjnho4735a1zgSJWM,0.082,0.02712142,0.0539,1.987359068957304 : 1,2017-12-13 5:34,97858,P2PKH,14
1LcqnegceRpFpgM9XEEi4sfmHKJytCgn4c,18nHDq3VpgJFxZj5f9H9kwetEDoRPSvVw9,1M1uiTAD9vyfNj7z3XkHyHQpAB4WXPAE3r,1,0.299591,0.7,2.3365187872799917 : 1,2017-07-21 18:05,40900,P2PKH,14
1G5TThb5tcJ3LQbF4C4Tibgd9y7m3iYPFH,157ZRQXwujdCRCs6g36uRQrA4bChiKz2qa,1EkZ5h9wVddGxxUZnNXQoMz3JV6pAbM57F,0.1203075,0.0111762,0.10912,9.763604803063652 : 1,2018-06-30 23:40,1130,P2PKH,15
1ATmm428trwLWDiWd8t8h4nUk8617J4oAi,3JfPyrjPkwncRTnmMXCyJSWap7c3a8ncnW,144YcRcM4AathyRHtM3PnBbZJLrVhmyRc5,0.00780756,0.001615,0.00618689,3.830891640866873 : 1,2018-09-09 4:49,567,P2PKH,15
1HssDyDTZj1hVdwhdpF49wLKLPQoCRJB9T,1KSWBFyEErM4msRQpSn7Fwu2KG1Ac4HXvD,1EVaJztbNAtuT2x1uUdaesJYKnMrHBm51w,2.03320001,0.01,2.023087,202.3087 : 1,2016-10-19 3:07,11301,P2PKH,15
14k81d3PhfB8A3GJAGa1wmbRdE7x7fgby8,182KwSW7R6h1zzn9yiPJHQNt1KMS4vXujK,1BrX8d7mWKGRXo8BUPeiGzmaLpedxAM9Es,0.00638312,0.0004344,0.00582442,13.407965009208104 : 1,2016-10-29 4:13,12430,P2PKH,15
18V4igRCzzkk2uSJB85EhZZNMijHVLQ9xg,1MfZcRsP5bBpAzUP9Mx4U13bfMcKoQ9Vnq,1GxC7WsBG8CJuEePTAHmAs5dSNwNNF4bhn,0.6102,0.07690961,0.53328248,6.933886155449234 : 1,2018-10-26 20:33,791,P2PKH,16
1Kbqi6GugFfk33t4r2F5s5JULxbjDrpAah,1JPTUJ9GexyM4hBs6psxhr8sg7e6M24KYY,1CGHvSv7CKfUCvPkwzr5EAF77VANyEowe6,0.35,0.053,0.296955,5.602924528301887 : 1,2018-10-19 8:08,4500,P2PKH,16
19BbU31xdCUKTX2yZbjqWAQG9e5F4p3gqc,1C371nAKkuCxmB4MEHoPR4ko35BFZ2FuQV,1Au4jVtXTSa7hBe6M7AARDXhyDWkf5aJov,0.55,0.08225,0.4676,5.685106382978724 : 1,2018-11-29 6:35,15000,P2PKH,16
