inputAddr,outputAddr1,outputAddr2,inputBTC,outputBTC1,outputBTC2,peeling ratio,TxTime,Fee,Address Type
1AwPej1Hv3RGEXc5Rx4UoAvHTaxY7mn7j7,1HqrRNFknkQnANos3YCaTHGhhMdq4VPtgq,1PqdbDDBk34jVpEVQyYgjgGnWh4orpSRKA,0.21861346 ,0.00005731 ,0.21800000 ,3803.873669516664 : 1,2017-09-10 17:26,55615,P2PKH
1JLXcg3aWHEcZYQoLWQwchMX1FyVHuZh7M,1H9VxYy4RkTpgb5y5Y81jJ4wL6v3Q6ka3H,1JbZGnzc8Bjh5hCSBvAu994Kq9UbXT95Nm,0.32896936 ,0.12815001 ,0.19990000 ,1.5598906312999896 : 1,2017-09-07 17:16,91935,P2PKH
1D9whDN4VBgvnLeza75KDywjHUZ4wLzmPW,1BcUyf1GhGx3PbP9qbXXsH3FDDJP2Rrzpk,14ppHUkpuRtCBLjY3d1aYZt5mErqreG5N8,0.23271362 ,0.00008077 ,0.23160000 ,2867.4012628451155 : 1,2017-08-31 20:20,103285,P2PKH
1DFD3Q2G1z7m9bgimj5S2XhhJiy48VVG35,1FC5xLYyTymaLJLZ7nZd2SPkR8WSDNZ5o9,1PWqtYcwfvLLtn2A4uZ7MdpFKZkyjSg3Nc,0.16938562 ,0.00585277 ,0.16250000 ,27.764631106296676 : 1,2017-08-29 19:33,103285,P2PKH
173kBZVLEQGuf6rpP1WM6HxKqYc5ojAWfg,3EpuuGPuvY3U4gegWK4tKD2NuvsKC3J6nC,1GKwgiCkhaSrA1ULXjsKWZoB2JNyZhch1F,0.46942897 ,0.46830000 ,0.00010522 ,4450.67477665843 : 1,2017-08-29 16:43,102375,P2PKH
1zHhVvci7fdmV4senweQ2J1gCsPPsvNbt,19LDnCN57qxCUSE6kH96pgLrm91T73PQdS,1JYMbaiR7wzFyxtV5YZNxpbago7z5Z45Bw,0.30852682 ,0.29200000 ,0.01560747 ,18.708989990049634 : 1,2017-08-23 17:26,91935,P2PKH
14YGDEuirJuoLNa1DbfLX9nKNz9YWt8qg4,143iB1pSqE8h7F9j4mNX1kfBPqu2bH8HG4,1Kr3J2TnD58nWHXbkXAifsekWNmrxSzLWZ,0.63665846 ,0.23100000 ,0.40514771 ,1.7538861904761904 : 1,2017-08-14 17:54,51075,P2PKH
161po1HBvA6apWNx3sD8t983MmN7Zuk98A,1LwVLm6tC7SV22oXKKXXEd5ycmkPjZv2C,15sDjrMwWu4hyN1f4dRyk2somnY6ouC313,0.63293243 ,0.63199000 ,0.00047708 ,1324.7044520835082 : 1,2017-08-08 19:32,46535,P2PKH
1M6qKiYYnwjZkE7DUHg3uEUKhwG5VDPPTd,1DYJkwFfSHCqjTjapQDncSRckapthifBWt,1HHrtGvvbtdUFcdZkpygFNQ9RvbeUACdqS,0.66684992 ,0.21530000 ,0.45103917 ,2.094933441709243 : 1,2017-07-26 18:34,51075,P2PKH
1CDLwouXXLa3J4wCKoFeps1aSN2PAc6eLf,125twV47V1K4pzcdJ42Fo399rmPhLkGEDf,1N9xavUF6Wm2xNezPLJwUwQ4CUFr8mMgGx,1.49518680 ,0.00049445 ,1.49400000 ,3021.539083830519 : 1,2017-07-16 22:42,69235,P2PKH
13Xz6Fmrd5B5PYB8ANfkeu9ZUvGibLRPba,12NKLsbJyH1PUN5TcT7WN1zS19nZbQHXC7,1HT9bBgPSNAMx343HvZ55oa4LgV1BtwkbY,1.61877582 ,1.28396997 ,0.33400000 ,3.844221467065868 : 1,2017-07-06 17:00,80585,P2PKH
12LPvF7PXvJN3TjXfQyfM3kJa7LMFHUvtD,1CV8xvvZgdYquZ4czPeLe9mAqC66kxDgEd,1FvhHCPykRqb9VcS8EFNtMkG7xjBvKheL5,0.65323548 ,0.00031613 ,0.65200000 ,2062.4426659918386 : 1,2017-06-29 15:53,91935,P2PKH
1MC2Rf3Bj3Q9orD9VTJb6cezpHsb5eRvA4,16Gtwac3VkeebpZQyd1YZ39MHQGHpBSKwq,1F6DZdttwvKoKpYSpTXrwfE2W4B9Yu6Ysd,0.23739447 ,0.23600000 ,0.00024812 ,951.15266806384 : 1,2017-06-15 12:41,114635,P2PKH
17KFkPUsAkGXPyEc9aHdHsRoooVKL3NWK8,1LxR3H8oSiKuGPktxAXSV4DDerNduABWdk,1P6XLHLVhdtVUoKx3KS64pLg7R4x5SvJN9,0.29835730 ,0.00221095 ,0.29500000 ,133.42680748094708 : 1,2017-06-13 11:02,114635,P2PKH
14x7ShwvqeChKevr3mQ8Je1zps8ystB4Hc,1NvamPE56dJFkYd6GYmY9dQJPiDwasnjCr,1LiTz9YfhFoqpttgoFFfzmB5syLU1rdkYV,0.15802411 ,0.12500000 ,0.03221826 ,3.879787424895075 : 1,2017-05-24 9:40,80585,P2PKH
1AdzLmc4k7ypoGtA26Az17EXLSR1fdXryX,145oFfcamAAQAhj6wYj9Cc8pCEJs6ofBZs,16fbkpCdR1RqDqv8fHsfnjnSXsVXhfAt9E,0.49859353 ,0.49801359 ,0.00027349 ,1820.9572196424 : 1,2017-04-20 19:26,30645,P2PKH
1CSoWuWnCpyqujvnjqn3naq7z9SkaGgTZm,1DoyUDwDEmpX2RJdEiifFCaL74YWtwDwER,12XJWK9rpGNm7wdvmzL1WjSAyfJQWMi7Te,0.34607066 ,0.00055991 ,0.34500000 ,616.1704559661373 : 1,2017-04-08 22:05,51075,P2PKH
1LmMfiFwBtJFuXecZpuQV3Ds4jEG8vacVy,1KWmzFdxGsGY4Yz7ZcBVA3xvBj8521t4T,1Nj3jkACu7AEryaWjvMX9XnstbQdcsB77,0.17986547 ,0.00017900 ,0.17917572 ,1000.9816759776537 : 1,2017-03-21 20:27,51075,P2PKH
1BhRwoRe6oG3eK9V3cSKc1yjewri9fxCus,15FSMEVp6zuYW92Mjgt1bSH7xigd6QVsYf,138bJSMFBLMenPBJAfLpyYte8tpgm45PhW,0.28500000 ,0.28445395 ,0.00028500 ,998.0840350877194 : 1,2017-02-28 22:00,26105,P2PKH
1HPx1AdNY8PpRDJkXGqALuFaxYk3rD8f6e,14YzvjKSJhLkNudvfLoKkVyh6ykxn2dFNR,1Eb2y5xPEb1brcR8mFHzPnsrTXWJ2611pD,1.41900000 ,0.92000000 ,0.49884691 ,1.8442531797981871 : 1,2019-05-04 15:15,15309,P2PKH
3C9rWNSquiyxF9QBzQ4npXRBWr9ETJbfcW,1746jPs7zNDAZp2t2mUwfmbBCcDC2W32xk,1Jtdr6TN2mhZo6quCrLC5y5hCm2JFb4iho,0.05744989 ,0.01327508 ,0.04390264 ,3.3071469249149534 : 1,2019-05-21 15:46,27217,P2SH
16afaJdkNTcacn6z5VbcU3QbQ3x6Lm1Zqg,1DUmWBzELH8iPfPtP892Cdyn4L2JXdndov,1746jPs7zNDAZp2t2mUwfmbBCcDC2W32xk,0.09948354 ,0.03809697 ,0.06095349 ,1.599956374483325 : 1,2019-05-31 17:31,43308,P2PKH
1N9HcDLjY4BeRcybzArsJWw3wXz9tVuEp6,1746jPs7zNDAZp2t2mUwfmbBCcDC2W32xk,17gEzrxgr73dJbDQH2F6SQ9wnVV9nnBvJn,0.10730000 ,0.05965373 ,0.04716445 ,1.2648028334900545 : 1,2019-06-01 10:22,48182,P2PKH
1HPx1AdNY8PpRDJkXGqALuFaxYk3rD8f6e,14YzvjKSJhLkNudvfLoKkVyh6ykxn2dFNR,1Eb2y5xPEb1brcR8mFHzPnsrTXWJ2611pD,1.41900000 ,0.92000000 ,0.49884691 ,1.8442531797981871 : 1,2019-05-04 15:15,15309,P2PKH
3C9rWNSquiyxF9QBzQ4npXRBWr9ETJbfcW,1746jPs7zNDAZp2t2mUwfmbBCcDC2W32xk,1Jtdr6TN2mhZo6quCrLC5y5hCm2JFb4iho,0.05744989 ,0.01327508 ,0.04390264 ,3.3071469249149534 : 1,2019-05-21 15:46,27217,P2SH
16afaJdkNTcacn6z5VbcU3QbQ3x6Lm1Zqg,1DUmWBzELH8iPfPtP892Cdyn4L2JXdndov,1746jPs7zNDAZp2t2mUwfmbBCcDC2W32xk,0.09948354 ,0.03809697 ,0.06095349 ,1.599956374483325 : 1,2019-05-31 17:31,43308,P2PKH
1N9HcDLjY4BeRcybzArsJWw3wXz9tVuEp6,1746jPs7zNDAZp2t2mUwfmbBCcDC2W32xk,17gEzrxgr73dJbDQH2F6SQ9wnVV9nnBvJn,0.10730000 ,0.05965373 ,0.04716445 ,1.2648028334900545 : 1,2019-06-01 10:22,48182,P2PKH
