inputAddr,outputAddr1,outputAddr2,inputBTC,outputBTC1,outputBTC2,peeling ratio,TxTime,Fee,Address Type
121gcSEJbXuun6FiqmQAVCY3Dc75zEbay6,1BPUApXhyqcCHkxE5gRTiwsXsqJxeQ8ZdD,17Sjgb3p9A1PfC4nC2KAkfjWvqNqAetj1j,1.24451113,0.2118,1.03207833,4.872891076487252 : 1,2017-07-13 23:38:14,63280,P2PKH
1P3UgN7BXJufRZ3U3xgaKxW6t8anajdVR,1PxY9bRcxbuLosrJBKpBF8ahaJgp5D2fwY,17JdWGeTBqVoEBv1snShDwBKAcQ1MbAKgo,4.21940929,0.15771842,4.06108974,25.748988228515095 : 1,2017-07-11 12:12:55,60113,P2PKH
1JTfjoK1FyHvtmNm8yfdbsCi7UCFcwhuCY,1CkTvgLGeXpQCv5FKa9WxEWN7w9AEvE3V1,12eNJhokp1d5PXS3XSNphTBvxSecodjKUm,12.40828212,6.15364716,6.25409121,1.016322685943534 : 1,2017-07-13 14:15:58,54375,P2PKH
1PC64Nesy5iaBhg16psPJip6dsQtFfGj22,18JSntqnXSiKx3BS4kBEm6L2cwbvX82M51,1F1UxcWmRG7dTtW4M5R3UXSyUPGHccvWP3,8.38112043,2.13019954,6.25037461,2.9341732981502755 : 1,2017-07-12 13:30:05,54628,P2PKH
1K7dxF8A1c4snX6DMtLa6tuT843rAaNg8F,15fxqfZX4uR1ekqPQ9GBet5Ssj7Re3X8cM,14QVGnUFoADETP6zgJBEXdfu4nDqLMJBVk,0.26,0.23000213,0.02954587,7.78457801377993 : 1,2017-08-27 08:12:27,45200,P2PKH
1Kd4xB3Ld7MN2prmQXWwuVr8iyv7EuLFFH,1AFDKVqwHp7EdKhbjzQKpfppuahfrT3yb5,1KNGQKia8GcwwkxAbEzUetn7mxoW4Uecw3,0.40162095,0.16164625,0.23931261,1.4804711522846958 : 1,2017-07-08 10:39:35,66209,P2PKH
1MKRAzdMGQEJuTQ2i6EqMLLCSpmDs6bhvu,1urijycYstssCWoywmva2hcWEXhfPyjXJ,1Lp7ujUvfzyRsWvQkGPhdtvedn6b4KqYNV,0.247,0.035,0.211548,6.0442285714285715 : 1,2017-09-01 20:38:16,45200,P2PKH
1CRTVKhyWvn1U1yu47EoT5NnHZ6bUoFCGa,13UqrXGDm7Bz1inYjafZTvZKhS3QyTc7Wd,1EAN2AZbu2fU6WXpwXMrJ8cfkHtRv38wHE,6.025,0.32617913,5.69837133,17.470067229623183 : 1,2017-07-25 02:46:47,44954,P2PKH
12qKLmYdAU52Bi8BAhN4tYwNvpKGGPsaRv,1CdfFHVdAhv7dwfUkM5cad9NYAUUKYFgxp,1ByatNVgJUiJZP2ypAGV4v2GKP9J1GZEqF,3.97385206,0.34163223,3.63177095,10.630644977495244 : 1,2017-07-10 21:42:09,44888,P2PKH
1E4joeSALgDC5hyfhX8mXAqzSivynKwwzF,17zVcynvkJEgCUdDnK9eru4p4uWiKPhedZ,1MFvyf4EX2nKX6zNdCkDkQeTGio31Vgjyn,77.06925706,0.022604,77.04597506,3408.5106644841626 : 1,2017-08-30 18:33:58,67800,P2PKH
1Bp4U7WWvzxXshiM7e12xNypfDcnN8ShD2,1A9Uy9EkcsaMDi8kBaspCA164iXpzQi8nY,18FgrBgom2dUz5JunaCWptZd8kjijUNAdV,210.74474264,210.2419577,0.50221994,418.6252694387244 : 1,2017-08-19 10:18:21,56500,P2PKH
1MMnxAb1pF1H6M5jKkc3aLGchFNVPdEV2v,1PnLquHHWoH6wqm2BYk7jNY3wgju2RBeEf,1Ctyd2Cy5htupXE4hSHmUrwKqCbUuF7Nfw,4.84261502,0.62546284,4.21660833,6.741580890720862 : 1,2017-07-16 12:21:04,54385,P2PKH
1D8dnLVj7tskGPhMdhXcyjeHKpE6NjdEu5,1FC3jxLtZH24CX9L5iTtLSqkhM939xHtYJ,31hj42nThKuu7ftkjio1cHYfAHwZjCuk1x,4.22174282,1.64962579,2.57152041,1.5588507560857183 : 1,2017-07-14 02:09:32,59662,P2PKH
1N4pkL87zCbfEMa34A3BmprjNHtty2uvEq,36UzoKtC9vgKuhuUGEaVsTEo5NnNc4bNtd,12unrJo5tH3yEDf6E99rjJWKGQ2u1waNZV,3.64,0.3745572,3.26495153,8.716830246488387 : 1,2017-07-21 15:52:17,49127,P2PKH
17RXiAZiV74AWyfXzH1xJsreG4FTwGXkux,3FyxtqqZfXs7HZ6dvkNsJiPiAEfyxNyF58,17dzM49YwKEiHo7DUu9GZKmEEcVjJo449K,4.30107527,1.73409144,2.56661438,1.4800917188080922 : 1,2017-07-18 22:25:28,36945,P2PKH
1JNdRCyWCE5pzALoeFxE39UiLryygcCGtP,141AH6Le2YxRPLcxaUfor7CrkG3oFgssa3,1NT2B5xWWeEJrdhcihMfFhmz8CEE2ogC4B,2.03121756,0.62018383,1.41043193,2.274215904661687 : 1,2017-07-15 12:48:27,60180,P2PKH
1HrjuyPXKtvdJFByqz5Ao1Fee2jBtDhZJz,14BWYWRi4mLJcoT3CoRiMFdN2HcXsPhu3f,18wuQ9Po8FAZ71huF2eSHrzxqiyb34j7rT,4.92605985,1.87486116,3.05066451,1.6271415585781295 : 1,2017-07-16 02:38:32,53418,P2PKH
1Kpvg7wbKtuYkb2ef5DpGzSS2Q2rvKTDK9,1CrD63DgXUQFDY9yamGX2sCE7dATkwBemC,1APhqPtg3GFb3dQuFKgkkg8SCBs9ARE6Qv,5.06065192,2.32551025,2.73473164,1.1759705810800019 : 1,2017-07-17 13:38:37,41003,P2PKH
1MqZb4BQJrnTAfe59dXAU6TMxvePZPPitT,15CpMTQ6N1Hpf87RyPPzjGyPpo1kBFtFgQ,1GGrA3MtemQkY1LqTZkEc1tzELHEio1osK,4.25531915,0.61784655,3.63692632,5.886455657962321 : 1,2017-07-12 10:24:47,54628,P2PKH
1LUYpGyDDYABqfJ7BW6ANDH9daP3AKvXsk,1AZNzVM6dJukwsiLzUiKiDTmWR1riwvxFM,13ndv71Kc67i6SehzASukubrEE9U4XyD94,4.06437978,0.16167384,3.90190726,24.13443795236137 : 1,2017-06-26 17:32:57,79868,P2PKH
13bKKdnJHZsg9Ydak16faaGA1FPQm742z2,15Q8jGLCBTmwbrh7EcXPkygXvZvS2KFwZA,1PmA2y8RWNP9ggYW8NWBEmYoH8hAP1iSPW,1.81400596,0.1549578,1.658504,10.702939768117513 : 1,2017-07-16 22:15:01,54416,P2PKH
18YWUTByXBp7nhQtmxonNuMHZZ8Pji1PKU,1PmA2y8RWNP9ggYW8NWBEmYoH8hAP1iSPW,1njMXhXRBEZririC4bR2Ld4Tk5rDfg5nM,4.00259369,0.22955709,3.772312,16.43300148124373 : 1,2017-07-03 14:58:31,72460,P2PKH
1Js8hfCu4o3Sa7v1ss4GyVJSs3GgZXzAmq,1EWSeAzP3qs1EbzYpQzFzcSzFpf4mWXRLo,1FM6VvDemgtVobdumMpBriTQ1caDR4XXnL,208.64046155,203.16309082,5.47680573,37.09517935009902 : 1,2017-08-13 14:19:58,56500,P2PKH
1DgUuxreCPPvD2U3T6EPTBds4TnFZpFqH6,339P2mtGSd8UR57YsMEvVtvCAiV7nRuBwF,1KgYCsqELDMjtLcfiV1FKfRXPRDCZ6FUPD,0.421835,0.1088,0.312923,2.8761305147058827 : 1,2017-09-05 16:01:33,11200,P2PKH
1D1GMi7qcim6GS94poVCdspAMCe5eURmYq,1PAE1h5eDBURvjRQFiHcfmNxd5nZTgpqTF,14BoAJeeRhL1h4DqFK1kYgUKQv2xv4Q3iL,5.1,0.058085,5.04095707,86.7858667470087 : 1,2017-08-30 12:33:21,95793,P2PKH
12t7wyeDpQTFpxo6pG3vETXv91k6bfjADt,147qr2WHnj9Qd4cFwZo8X9JTcy8WW3Xmkv,1LJFXRYU6qRQmVE1jg5whFsY97PMbsgZQH,4.19778274,1.01669461,3.18054335,3.1283173125113746 : 1,2017-07-13 17:59:47,54478,P2PKH
1FvynkyAxxYgoNVFywEVbfPvHVAeWsmv4v,1EACtd1E4pKpDkXbuNqifGfemrn2Fvajdd,1Azf2kMdnSCkA3UhYs9TFwL6enuJeiUeE1,3.82943689,0.14494926,3.6838229,25.414568518666464 : 1,2017-07-06 11:34:32,66473,P2PKH
1EbVAz8dtbJDxiaceqC3Q1TSA6sqLnCyAa,1FeEc6mMxNL5oauFuH2MqYCSsqkqa8W82y,1Dm4s3zxeTqy8t99F34qgRoNwFyCuwzaBR,0.50318865,0.02326533,0.47937921,20.604874721312786 : 1,2017-07-16 22:15:01,54411,P2PKH
