inputAddr,outputAddr1,outputAddr2,inputBTC,outputBTC1,outputBTC2,peeling ratio,TxTime,Fee,Address Type,,,,,,,,,,,,
1NDtXM2SZP8SJvGscSc327YPLvS2a4PgFG,1C1U19RbF46rN58Kv6Wy8MqapKnf9XTD3e,1AeeogCiMRqZ5q6BJthDGgRCzTfgvUqYSt,4.02288576,1.81292419,2.20951287,1.218756350755075 : 1,2017-07-11 17:29,44870,P2PKH,,,,,,,투자사기 지갑주소 중 필 체인 특성(ver1.0)만을 검색해 뽑아 낸 것,,,,,
17TroTGkxiCQniuqCyFdZ7a3ghX4HUsyvS,15MwVBpW2XtUjnheBPWQgGRpKvhoAmdEUp,1HkxZeEQRBAS46hticcDUGitDTAZthnQHG,2.81145951,0.1280993,2.68263542,20.94184292966472 : 1,2017-07-03 20:15,72479,P2PKH,,,,,,,,,,,,
15K4moYJgnsxKiRdgDNgkbe5doHrhsfwFG,15Qj9Q8P99VtTXN4LTq4zkN9GkDcUTn7ux,18xZkrxuj51vDRTHxtnLVqUZhxnZDE1RfQ,0.18369729,0.04985908,0.13320541,2.6716379443824474 : 1,2017-08-09 9:00,63280,P2PKH,,,,,,,,,,,,
39JXaTYNnaMHjyxNZCr6a3GLkqJ3bEBif3,17XA6BHRGQxfzbtX8pUX6GhxU5g1gCpciD,3BGDM7CZGpYV3mHzHgFgsN36YnWzLdnvud,0.24806854,0.143935,0.1036436,1.3887495224017692 : 1,2017-09-21 23:07,48994,P2SH,,,,,,,,,,,,
1KeW5uFMgazaasWv9i98pW3JzvH5Eqg87H,14XGbSya4rKYiDaBiccfN3Wfy4pypNxRuv,1Bez5TY8PUVzDcKZqJ7caCoD33tKtHH1bP,4.00389179,1.81482844,2.18840134,1.2058447464047897 : 1,2017-07-08 18:53,66201,P2PKH,,,,,,,,,,,,
1KrQYx5g6cAHQAMqhu7osdRHVBphn4R5nf,17MwsJ3pbBgcCLxMquN8QyAbPAfiYwoBJ5,1K8eMwshppc4KDby22gJvQUwmQ6bNTgyzo,4.98325626,1.19687671,3.7859723,3.1632099349648137 : 1,2017-07-18 9:52,40725,P2PKH,,,,,,,,,,,,
17Qj9JmG4uPF2uzN1GkVeMCXdjyCAXZUMf,1JLgcsztHvgJEZmaXRhcmEKRvTbKaJvdsR,15pquE1abggwLfbPixBvCTYXRfX8t9n9nq,3.87,3,0.86959191,3.449894100325749 : 1,2017-07-22 20:44,40809,P2PKH,,,,,,,,,,,,
1AJCRkq4b8cZLp1oMTPu8eJMJT1Sa29JhV,1B4k3ngYK3j5EST449xgZTW9L78BKqcSYR,15nKw6JYkUBFymbcvXZRR8NJynXJobrLWb,0.79301198,0.05899798,0.73356513,12.433732985434418 : 1,2017-07-10 20:51,44887,P2PKH,,,,,,,,,,,,
14BkpACYhrvsZYPxkAZ7SkdQsHuxJQWmUk,3J4hpXEuEEJwq7APgYZnXAxazjxsWQubup,126YWt9va8eQ8fuaJfUAzWbARvESDZgEa6,1.13554226,0.34,0.79498226,2.3381831176470587 : 1,2017-08-18 17:17,56000,P2PKH,,,,,,,,,,,,
1Q25UE7eBdNQNQE2EVQyQaeYa5aRUmoCN1,1GjyoNvEH9eCNmMRGu93XtPBiQzUhM6uoX,335iq3rLK9fgRZSLFGEYLNSmKseUL9Zqug,0.39388998,0.17129118,0.22200341,1.2960586178459395 : 1,2017-07-09 10:55,59539,P2PKH,,,,,,,,,,,,
15qiu5u1TDWcyDjQTeGQ8nv5mW3RJStjXi,1LEJHkbhCkWbbtxTjD6ZxHNb6CxbYUHKJE,1FR6LnC3XoaikvWesnfQtaAuuxeXmfgWdj,223.6820591,223.6776239,0.00375721,59532.904437068995 : 1,2017-09-03 18:21,67800,P2PKH,,,,,,,,,,,,
